r1,r2,r3,r4,r5,r6,igrad
1.11908041072196918e+00,1.13328559274215497e+01,1.06843166662974696e+01,1.08668563900492483e+01,1.02422020631512147e+01,1.10623265036147767e+00,1
1.55174079981069468e+00,6.43010350159176625e+00,7.30598975482285251e+00,6.61501779705091053e+00,7.34465306734994616e+00,1.12059756186270398e+00,1
1.29970914786768743e+00,5.61953900644216020e+00,5.47837128270903317e+00,6.68907746613422027e+00,6.50911111363638195e+00,1.12072663917591719e+00,1
1.20093244399462318e+00,4.71126580740607004e+00,5.01514149049572922e+00,3.51925299051106233e+00,3.84040562230066174e+00,1.22266409646505658e+00,1
6.09134508641977668e+00,6.34915340382730875e+00,6.13398909576806872e+00,8.12408523730599974e+00,8.34056487244795619e+00,1.22045344422450985e+00,1
1.23582481618725115e+00,1.19302147661800486e+01,1.20089562716463849e+01,1.18063166163035689e+01,1.17830317111473324e+01,1.07893844635845193e+00,1
1.24340790220190001e+00,7.83510505317857664e+00,8.18121982621934940e+00,6.65997264564689662e+00,7.03271332635135771e+00,1.03930089005018389e+00,1
1.42435876597135835e+00,5.20654184329517289e+00,6.27802365523821226e+00,5.28773288572670097e+00,6.31355637037472039e+00,1.07317585386506020e+00,1
1.15949856769814663e+00,1.62386435861900802e+00,1.51695070727437420e+00,2.55903103520425557e+00,2.67483689008615899e+00,1.15560769867638635e+00,1
1.17761412051545378e+00,3.77334101113590537e+00,3.30509555966245827e+00,3.05018649097833805e+00,3.73815413520739259e+00,3.81104958230152979e+00,1
1.11927451014581991e+00,1.13328696758917555e+01,1.06842556286771231e+01,1.08663932015564502e+01,1.02416869141479125e+01,1.10658036000376425e+00,1
1.55156971948626987e+00,6.42860665137557241e+00,7.30539896270450928e+00,6.61418893729060997e+00,7.34478983714489964e+00,1.12130874969790240e+00,1
1.29889884070273998e+00,5.61911998119872891e+00,5.47788757865512910e+00,6.68804740883200211e+00,6.50816840127596308e+00,1.12191979235980033e+00,1
1.20129264348728637e+00,4.71061580683802461e+00,5.01472864914695116e+00,3.51823575144376433e+00,3.83969856368881324e+00,1.22252950395699700e+00,1
6.09274127164519985e+00,6.35096232709927122e+00,6.13504805733609349e+00,8.12582645479811205e+00,8.34257062760823231e+00,1.22047965455790197e+00,1
1.23626519329329887e+00,1.19303664511855345e+01,1.20093113723547535e+01,1.18056960362200432e+01,1.17826054273418492e+01,1.07856366978329454e+00,1
1.24283071474721574e+00,7.83448733594108582e+00,8.18002537430387555e+00,6.65986576778863082e+00,7.03199520795178223e+00,1.03834606392009698e+00,1
1.42431917414283871e+00,5.20675361021577832e+00,6.27753607376048173e+00,5.28824804444285590e+00,6.31341170166834509e+00,1.07246811005527642e+00,1
1.15949858990797861e+00,1.62386435534119644e+00,1.51695070039713609e+00,2.55903104553225536e+00,2.67483690594182999e+00,1.15560772911275467e+00,1
1.17761420857917187e+00,3.77334104102355150e+00,3.30509554882207279e+00,3.05018647080431027e+00,3.73815415852315880e+00,3.81104958228083435e+00,1
1.11927449654356903e+00,1.13328696642452673e+01,1.06842556328300660e+01,1.08663931963284934e+01,1.02416869238574151e+01,1.10658033311041937e+00,1
1.55156971780055941e+00,6.42860667181286249e+00,7.30539894394108735e+00,6.61418895070122215e+00,7.34478981792013830e+00,1.12130870013349182e+00,1
1.29889884888071117e+00,5.61911996882215270e+00,5.47788757718747377e+00,6.68804740200993120e+00,6.50816840728292867e+00,1.12191970791571705e+00,1
1.20129263052926349e+00,4.71061580104174560e+00,5.01472864275918884e+00,3.51823575859910953e+00,3.83969856977318269e+00,1.22252950755971468e+00,1
6.09274127164519985e+00,6.35096231913968357e+00,6.13504806500035382e+00,8.12582645784468482e+00,8.34257062421762718e+00,1.22047964877258663e+00,1
1.23626518836668642e+00,1.19303664496699273e+01,1.20093113719144746e+01,1.18056960376741138e+01,1.17826054287780995e+01,1.07856368536937075e+00,1
1.24283072738742240e+00,7.83448732639928380e+00,8.18002540246042109e+00,6.65986574521991770e+00,7.03199522698030677e+00,1.03834618272476598e+00,1
